x	y
2713	4754
4566	680
1322	4287
2841	1949
4419	4804
152	4432
505	1344
1505	502
4579	1503
2418	3900
424	743
1400	4729
2943	1920
3962	1161
4047	300
2497	1443
3376	4400
3175	3580
2536	1049
496	4135
2363	2247
3984	2971
827	1692
3375	1329
1433	4329
250	829
3116	833
1479	3204
722	1922
4303	3220
4513	3494
2378	3291
2134	481
1398	1530
2715	4535
3519	4485
3915	2678
1766	3792
3220	2257
1882	1861
699	2616
1398	3383
4735	2671
3569	4669
2816	746
4390	1497
63	1327
210	4354
4456	489
316	3921
1562	2543
1293	2961
106	3022
4191	1176
119	2033
2486	56
2020	233
565	402
1145	3226
3088	4055
3107	660
4500	4928
2592	4238
3793	4181
4128	4239
960	670
658	1015
252	3517
4562	3337
1640	2350
4645	2003
4840	146
627	977
4178	2292
97	4656
1508	2120
745	4958
1024	3114
1160	1881
4680	592
3975	2785
4440	1219
4083	525
856	330
3361	1124
60	1702
2991	2787
2501	3793
1128	3384
1681	1285
4100	2566
2762	4068
2917	78
2208	4435
1583	169
3584	805
3162	4688
4474	3239
3485	78
4778	1601
578	2495
4251	1411
2803	1349
4558	1229
2972	1045
2619	4430
530	2664
2329	4674
2398	1454
1399	4016
1462	2545
402	4719
4573	725
2715	3666
2508	2852
4863	293
656	1752
3856	4690
725	2089
1065	4004
1051	4603
2794	4156
3730	1356
4228	314
2881	499
2894	1814
3340	3917
2806	3958
1095	4864
3702	2129
2240	1276
1988	3467
1942	4640
2628	4830
4858	4560
3969	3266
195	3498
3343	2756
3931	3051
100	1768
4336	3254
3224	170
4677	451
3819	3279
296	278
4735	3611
4569	2906
1062	3081
597	2552
1636	4022
2854	4383
1360	2826
4880	4023
4978	1488
3438	2679
1734	284
515	2659
1294	3102
4673	1304
969	4493
2196	1258
4596	2507
1007	3880
2220	3161
2509	478
907	4202
4721	868
2778	2395
2593	4363
2681	719
4183	2245
1039	2355
4921	761
913	2400
3500	1798
2418	2869
3342	1213
3539	809
2364	1828
4566	4714
4938	2669
4325	3665
610	2374
4884	3489
1493	3450
283	2643
3526	3522
2626	1528
4916	1349
514	3681
3555	4224
3296	2965
874	2378
3623	1604
2501	2442
4342	4016
2568	3140
3735	1137
4146	3952
1666	1266
207	984
628	4516
3159	3573
1466	21
4324	3188
4409	1647
3468	2159
4794	2809
3237	4762
2709	389
2098	4258
4047	103
3163	2133
2926	3760
2218	2298
3357	234
2462	1514
2378	426
1779	999
276	3877
3194	1162
456	2618
3343	4994
1738	3306
64	4167
1829	2327
2222	3527
79	2254
3047	3663
2761	98
4005	2119
2955	1455
1904	3613
3113	3549
647	825
4265	4328
1422	2963
3163	4511
4684	4201
2158	2076
3016	2342
2547	3710
627	3456
1763	640
1097	981
551	1287
1929	1506
971	820
4444	371
2338	3500
4436	55
2136	1192
326	1083
1886	4072
4096	3275
1977	3395
4619	3668
3184	1184
4753	4331
3687	3784
3595	1064
1018	2475
4545	2935
50	4041
1080	4370
1883	2811
4202	4441
3258	2398
1291	3328
4512	160
1512	609
6	786
1664	1089
1623	4534
3476	2144
3588	222
790	2794
3781	1930
829	492
4328	595
4318	1812
831	1954
478	3442
3515	1334
3451	4221
3566	163
2218	2412
3865	970
1692	2974
2321	3389
2836	710
4024	4622
3576	3512
814	1991
3518	3682
768	252
1221	454
2259	3317
367	2204
288	3311
1118	288
1447	722
4916	4474
1119	4013
553	4395
2284	2780
43	2567
2015	2065
1032	2267
2399	3135
2115	4647
1191	3351
4035	2062
430	2314
433	4402
922	4190
4955	2581
3653	4300
1867	4192
1772	1975
3572	2649
1478	3274
3301	4190
4720	2577
4504	497
1997	2304
614	2001
3293	992
487	2674
4344	2916
2203	246
1028	3907
675	189
2903	1810
4618	2248
729	4738
2094	3694
636	563
4758	2057
4707	667
4390	586
107	901
1339	1833
2408	3749
317	4819
1982	1302
1523	1374
2412	102
1704	3770
592	1856
4385	4135
2111	654
2693	2497
515	2321
2541	3395
4166	2220
3455	3497
4087	4042
2609	491
2863	1551
2763	3058
3640	1389
2053	2114
1184	1846
1255	4193
3416	4196
4664	528
3987	1748
3633	600
3205	4326
4927	1763
3786	11
2270	2220
2418	2664
4988	3333
1157	3416
2854	1228
4943	654
1861	634
3818	3861
1477	581
3106	262
319	1100
528	278
3683	4713
1458	124
1109	2698
2938	2276
4480	2142
3084	3475
4309	3751
2444	3066
3449	462
3182	2824
1513	3588
1388	1063
2203	2235
1720	3227
352	3200
591	4415
2958	4651
3533	879
675	288
3816	2462
1722	55
1837	1186
3354	1365
1971	1810
3332	3929
173	3982
423	2520
1464	2706
4504	2589
4985	2282
507	584
1838	4143
945	4120
1965	2962
1683	618
3352	1973
3606	2700
1872	4699
102	2441
821	4182
2336	4277
998	3273
2476	3630
4052	4521
1414	1810
2632	4648
1181	2147
1298	3611
187	2652
2057	421
1330	2376
3747	2895
1248	2703
4761	1325
950	4731
455	4240
2920	516
3864	4770
1728	2002
2205	1544
4181	2496
4970	3181
1316	1676
988	658
674	2827
1487	2693
819	2139
5	1541
888	1552
4314	3553
2199	4535
3015	536
239	3418
283	395
4330	1931
2192	1768
3629	1354
2712	3362
3935	3207
3089	675
2282	83
1422	2898
4642	1453
3404	3848
3423	4682
3978	1334
2056	1359
4798	3483
3758	2615
1221	3269
4802	1574
505	331
2272	3927
4689	2573
4336	892
1705	4671
2598	694
791	4845
3131	0
1951	4624
1002	1274
4018	2046
2541	4735
2635	4794
4663	3234
357	2677
2771	638
3610	3252
369	3158
1214	1951
311	2875
161	1321
4963	2222
1090	784
1189	3978
632	3333
4875	1912
652	4594
4913	4497
2319	4971
2588	4307
3305	1406
2712	4004
2216	1685
3384	3709
4397	4400
1492	383
4222	3942
3982	4021
3653	4319
3549	4927
3374	1249
154	2917
4334	4582
1351	843
2089	4145
1449	1381
682	3786
1079	292
1819	792
