x	y
7216	9739
9461	4946
1038	2067
1851	4485
682	1037
4527	9407
8388	3521
9204	1640
3496	4299
183	3578
3484	4000
2593	9286
8500	7635
1523	8199
8752	6758
9328	3686
5068	3477
3392	2742
4231	7585
7834	2604
8423	8508
9548	9508
8068	7255
9840	5474
439	9035
7624	9020
9832	8326
8963	1590
8122	80
2185	3337
2697	4504
7238	8505
5671	7359
6552	855
4747	6973
6649	6260
3173	2467
2698	4270
6778	1965
7386	6164
6400	4153
4261	455
9794	1208
2549	2306
2333	2229
5546	8769
5913	7605
2317	6050
61	2832
8819	9339
3772	1331
5629	5320
5848	6219
833	5051
3845	8506
5230	8369
5992	572
8955	376
2335	5548
7123	202
9845	8291
8313	370
4720	4916
4667	4865
7130	7126
7663	5159
6187	6119
8305	4549
4507	6048
8266	2675
741	973
3111	2949
7277	1810
8819	8671
886	6802
5241	6250
8759	3028
7193	2318
9649	7894
5996	6195
4572	7136
18	4536
