x	y
2040	1331
1783	4628
2013	2309
1676	4888
3076	1956
3379	1883
1177	3546
3345	342
413	2269
3022	714
619	2986
796	168
4934	2465
3301	1148
4482	2845
2858	864
2819	4593
3314	4233
4957	604
3324	1783
4562	3131
2061	2152
2963	4976
222	2429
3986	3478
3222	4069
4458	4647
1050	2639
3505	4541
3047	625
198	3709
3738	4495
2270	3026
139	4168
4114	3399
2465	2193
207	3312
2313	2755
2400	1113
4217	4812
619	4517
2765	3322
4742	4211
2643	1900
3766	2886
1198	3095
1366	2550
2389	2138
383	3146
2204	2440
3188	2853
2787	3345
2772	325
4024	2867
4653	1187
3090	229
61	2817
3801	4364
1186	1706
1801	3595
3075	863
227	1676
3277	516
4468	4145
412	242
3673	2799
2032	1474
315	486
4850	3574
1620	2228
354	4627
4982	4199
1443	4563
2388	2385
2106	429
2826	3578
3723	2670
3380	435
3286	1775
4500	3683
1117	2901
1157	242
2681	4400
2506	1568
2603	2640
4161	2695
853	3829
1368	734
2396	3058
2625	4441
3068	1574
880	4277
1612	2841
2979	4543
629	801
645	2316
3685	4038
3131	3826
1965	973
3280	3860
2751	1490
516	4309
4108	313
2740	488
4752	2891
2777	2988
4453	455
3404	678
4114	3601
2550	2597
2189	989
56	2246
2195	17
3802	4886
1454	2559
4787	2289
4378	1425
1468	1476
4987	1314
415	1664
424	852
3235	4531
1975	3454
4717	4846
3983	331
3857	4646
2170	4075
2639	129
1216	2302
2991	4672
4277	1675
1149	2628
4365	3493
1401	4677
522	2135
3667	2136
3962	3099
3554	3427
3301	4930
1909	3113
747	4786
3682	3565
3539	3325
704	3025
2358	1436
712	4556
3651	2157
1673	2344
4364	4189
1901	4682
4308	598
3145	2855
2172	825
4025	4292
3969	4475
4379	2973
264	2900
1484	4656
872	1121
2999	814
299	3124
857	395
1239	865
3776	2024
1742	579
4386	4698
4189	4196
3316	2037
3346	1916
628	3230
1907	4291
4446	1246
1904	2182
3529	1762
3620	4173
3907	819
3435	1662
848	1739
4452	819
3905	957
1349	2820
1989	1250
88	4059
2263	4090
3390	4337
2158	2090
4599	1069
